BR 0,0,0,0,0,1,62
BR 0,0,0,0,0,1,63
R 0,0,0,1,0,1,60
R 0,0,0,1,0,1,61
R 0,0,0,1,0,1,62
R 0,0,0,1,0,1,63
BW 0,0,0,1,0,1,60
BW 0,0,0,1,0,1,61
BW 0,0,0,1,0,1,62
BW 0,0,0,1,0,1,63
BR 0,0,0,0,0,2,0
BR 0,0,0,0,0,2,1
BR 0,0,0,0,0,2,2
BR 0,0,0,0,0,2,3
R 0,0,0,1,0,2,0
R 0,0,0,1,0,2,1
R 0,0,0,1,0,2,2
R 0,0,0,1,0,2,3
BW 0,0,0,1,0,2,0
BW 0,0,0,1,0,2,1
BW 0,0,0,1,0,2,2
BW 0,0,0,1,0,2,3
BR 0,0,0,0,0,2,4
BR 0,0,0,0,0,2,5
BR 0,0,0,0,0,2,6
BR 0,0,0,0,0,2,7
R 0,0,0,1,0,2,4
R 0,0,0,1,0,2,5
R 0,0,0,1,0,2,6
R 0,0,0,1,0,2,7
BW 0,0,0,1,0,2,4
BW 0,0,0,1,0,2,5
BW 0,0,0,1,0,2,6
BW 0,0,0,1,0,2,7
BR 0,0,0,0,0,2,8
BR 0,0,0,0,0,2,9
BR 0,0,0,0,0,2,10
BR 0,0,0,0,0,2,11
R 0,0,0,1,0,2,8
R 0,0,0,1,0,2,9
R 0,0,0,1,0,2,10
R 0,0,0,1,0,2,11
BW 0,0,0,1,0,2,8
BW 0,0,0,1,0,2,9
BW 0,0,0,1,0,2,10
BW 0,0,0,1,0,2,11
BR 0,0,0,0,0,2,12
BR 0,0,0,0,0,2,13
BR 0,0,0,0,0,2,14
BR 0,0,0,0,0,2,15
R 0,0,0,1,0,2,12
R 0,0,0,1,0,2,13
R 0,0,0,1,0,2,14
R 0,0,0,1,0,2,15
BW 0,0,0,1,0,2,12
BW 0,0,0,1,0,2,13
BW 0,0,0,1,0,2,14
BW 0,0,0,1,0,2,15
BR 0,0,0,0,0,2,16
BR 0,0,0,0,0,2,17
BR 0,0,0,0,0,2,18
BR 0,0,0,0,0,2,19
R 0,0,0,1,0,2,16
R 0,0,0,1,0,2,17
R 0,0,0,1,0,2,18
R 0,0,0,1,0,2,19
BW 0,0,0,1,0,2,16
BW 0,0,0,1,0,2,17
BW 0,0,0,1,0,2,18
BW 0,0,0,1,0,2,19
BR 0,0,0,0,0,2,20
BR 0,0,0,0,0,2,21
BR 0,0,0,0,0,2,22
BR 0,0,0,0,0,2,23
R 0,0,0,1,0,2,20
R 0,0,0,1,0,2,21
R 0,0,0,1,0,2,22
R 0,0,0,1,0,2,23
BW 0,0,0,1,0,2,20
BW 0,0,0,1,0,2,21
BW 0,0,0,1,0,2,22
BW 0,0,0,1,0,2,23
BR 0,0,0,0,0,2,24
BR 0,0,0,0,0,2,25
BR 0,0,0,0,0,2,26
BR 0,0,0,0,0,2,27
R 0,0,0,1,0,2,24
R 0,0,0,1,0,2,25
R 0,0,0,1,0,2,26
R 0,0,0,1,0,2,27
BW 0,0,0,1,0,2,24
BW 0,0,0,1,0,2,25
BW 0,0,0,1,0,2,26
BW 0,0,0,1,0,2,27
BR 0,0,0,0,0,2,28
BR 0,0,0,0,0,2,29
BR 0,0,0,0,0,2,30
BR 0,0,0,0,0,2,31
R 0,0,0,1,0,2,28
R 0,0,0,1,0,2,29
R 0,0,0,1,0,2,30
R 0,0,0,1,0,2,31
BW 0,0,0,1,0,2,28
BW 0,0,0,1,0,2,29
BW 0,0,0,1,0,2,30
BW 0,0,0,1,0,2,31
BR 0,0,0,0,0,2,32
BR 0,0,0,0,0,2,33
BR 0,0,0,0,0,2,34
BR 0,0,0,0,0,2,35
R 0,0,0,1,0,2,32
R 0,0,0,1,0,2,33
R 0,0,0,1,0,2,34
R 0,0,0,1,0,2,35
BW 0,0,0,1,0,2,32
BW 0,0,0,1,0,2,33
BW 0,0,0,1,0,2,34
BW 0,0,0,1,0,2,35
BR 0,0,0,0,0,2,36
BR 0,0,0,0,0,2,37
BR 0,0,0,0,0,2,38
BR 0,0,0,0,0,2,39
R 0,0,0,1,0,2,36
R 0,0,0,1,0,2,37
R 0,0,0,1,0,2,38
R 0,0,0,1,0,2,39
BW 0,0,0,1,0,2,36
BW 0,0,0,1,0,2,37
BW 0,0,0,1,0,2,38
BW 0,0,0,1,0,2,39
BR 0,0,0,0,0,2,40
BR 0,0,0,0,0,2,41
BR 0,0,0,0,0,2,42
BR 0,0,0,0,0,2,43
R 0,0,0,1,0,2,40
R 0,0,0,1,0,2,41
R 0,0,0,1,0,2,42
R 0,0,0,1,0,2,43
BW 0,0,0,1,0,2,40
BW 0,0,0,1,0,2,41
BW 0,0,0,1,0,2,42
BW 0,0,0,1,0,2,43
BR 0,0,0,0,0,2,44
BR 0,0,0,0,0,2,45
BR 0,0,0,0,0,2,46
BR 0,0,0,0,0,2,47
R 0,0,0,1,0,2,44
R 0,0,0,1,0,2,45
R 0,0,0,1,0,2,46
R 0,0,0,1,0,2,47
BW 0,0,0,1,0,2,44
BW 0,0,0,1,0,2,45
BW 0,0,0,1,0,2,46
BW 0,0,0,1,0,2,47
BR 0,0,0,0,0,2,48
BR 0,0,0,0,0,2,49
